TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL;TRADINGSESSION
4332842152;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842153;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842154;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842155;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842156;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842157;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842158;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842159;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842160;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842161;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842162;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842163;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842164;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
